cluster_id,convex_hull
2.0,"[[45.83747, 4.805295], [45.833102, 4.79988], [45.833297, 4.79978], [45.8411, 4.79639], [45.841111, 4.796389], [45.842191, 4.797552], [45.845986, 4.802822]]"
3.0,"[[45.695449, 4.943869], [45.693332, 4.941398], [45.694265, 4.940006], [45.704481, 4.940508]]"
4.0,"[[45.830286, 4.881663], [45.823727, 4.874202], [45.826975, 4.873605], [45.831056, 4.874099], [45.832578, 4.880375]]"
5.0,"[[45.728688, 4.741438], [45.731344, 4.734613], [45.730703, 4.739656], [45.729584, 4.743106]]"
6.0,"[[45.774516, 4.91887], [45.781532, 4.912162], [45.782131, 4.915398], [45.782314, 4.923098], [45.780833, 4.930667]]"
7.0,"[[45.704396, 4.890031], [45.704789, 4.887443], [45.708888, 4.887777], [45.704995, 4.889785]]"
8.0,"[[45.827233, 4.892772], [45.8266, 4.9008], [45.824438, 4.905833], [45.822765, 4.908125], [45.818394, 4.905916], [45.815902, 4.904502], [45.8155, 4.904166], [45.811003, 4.897327], [45.810775, 4.893986], [45.811097, 4.887844], [45.816014, 4.881295], [45.8187, 4.881655]]"
9.0,"[[45.807735, 4.783816], [45.802288, 4.784702], [45.808119, 4.777619], [45.808186, 4.777572], [45.809126, 4.778451], [45.809268, 4.77873], [45.809691, 4.780005], [45.809686, 4.780269]]"
10.0,"[[45.733355, 4.965272], [45.726027, 4.964469], [45.728314, 4.953095], [45.730711, 4.946089], [45.73275, 4.947102], [45.73474, 4.951572], [45.735147, 4.955363]]"
11.0,"[[45.702833, 4.771833], [45.697375, 4.771445], [45.698799, 4.764525], [45.699952, 4.766365]]"
12.0,"[[45.795917, 4.969725], [45.792813, 4.954651], [45.792982, 4.954161], [45.793051, 4.953967], [45.793132, 4.953866], [45.798334, 4.951937], [45.803888, 4.959166], [45.80413, 4.962998], [45.804135, 4.963186], [45.803958, 4.966677], [45.801221, 4.972128], [45.798401, 4.973309]]"
13.0,"[[45.79448, 4.946213], [45.803144, 4.9265], [45.813037, 4.933569], [45.814176, 4.937691], [45.815011, 4.940779], [45.815034, 4.941444], [45.809956, 4.948182], [45.798575, 4.94968]]"
14.0,"[[45.680898, 4.861932], [45.680579, 4.86351], [45.666725, 4.858403], [45.664808, 4.85143], [45.672649, 4.851624]]"
15.0,"[[45.723768, 4.765512], [45.719566, 4.759215], [45.721618, 4.759966], [45.722486, 4.760513], [45.724269, 4.761861]]"
16.0,"[[45.781781, 4.992389], [45.781262, 4.987492], [45.781651, 4.98732], [45.78174, 4.987385], [45.783859, 4.989273], [45.78486, 4.990518]]"
17.0,"[[45.779182, 4.980958], [45.7777, 4.975776], [45.778089, 4.970433], [45.782534, 4.975281], [45.781232, 4.979853]]"
18.0,"[[45.684166, 4.8445], [45.695606, 4.840046], [45.703182, 4.840657], [45.707404, 4.843672], [45.706044, 4.852706], [45.703976, 4.853575], [45.696977, 4.85248], [45.685399, 4.846922]]"
19.0,"[[45.680191, 4.79059], [45.685777, 4.784798], [45.69356, 4.78197], [45.694096, 4.787678], [45.694658, 4.79433], [45.692144, 4.795285]]"
20.0,"[[45.658372, 4.840338], [45.6714, 4.836285], [45.668397, 4.845586], [45.661852, 4.842363]]"
21.0,"[[45.797235, 4.803447], [45.797915, 4.802366], [45.798833, 4.8075], [45.798932, 4.811496], [45.798083, 4.810638]]"
22.0,"[[45.730988, 4.937753], [45.731205, 4.938919], [45.730284, 4.939877], [45.716713, 4.946797], [45.716677, 4.946708], [45.718386, 4.94359], [45.721294, 4.940572], [45.728027, 4.938022]]"
23.0,"[[45.694718, 4.86763], [45.698263, 4.873585], [45.692766, 4.872072], [45.688243, 4.865119], [45.692993, 4.866589]]"
24.0,"[[45.817666, 4.775666], [45.803791, 4.774577], [45.800354, 4.769762], [45.799472, 4.766555], [45.799327, 4.756502], [45.803412, 4.7534], [45.810226, 4.751425], [45.822166, 4.7585], [45.824612, 4.761028], [45.824225, 4.766983], [45.818262, 4.774941]]"
25.0,"[[45.684833, 4.770166], [45.687816, 4.769187], [45.687801, 4.770115]]"
26.0,"[[45.736861, 4.727597], [45.737333, 4.722833], [45.742166, 4.729], [45.738055, 4.732222]]"
27.0,"[[45.777225, 4.741463], [45.785317, 4.727854], [45.78608, 4.728412], [45.787936, 4.730652], [45.788288, 4.731216], [45.789166, 4.733611], [45.780473, 4.74063]]"
28.0,"[[45.706179, 4.760456], [45.706119, 4.755814], [45.706179, 4.752405], [45.706404, 4.751651], [45.707437, 4.751243], [45.709167, 4.7525], [45.708816, 4.757924], [45.707378, 4.760198]]"
29.0,"[[45.771862, 4.970927], [45.768888, 4.970277], [45.769333, 4.9675], [45.770833, 4.966833], [45.773605, 4.966911]]"
30.0,"[[45.81392, 4.818352], [45.814396, 4.817697], [45.816776, 4.816389], [45.816278, 4.818399], [45.814826, 4.821442], [45.81451, 4.820412]]"
31.0,"[[45.794881, 4.99472], [45.790344, 4.991683], [45.79038, 4.991113], [45.791286, 4.989641], [45.792986, 4.989361], [45.795555, 4.99048], [45.797571, 4.992899]]"
32.0,"[[45.733055, 4.782222], [45.731172, 4.783355], [45.731194, 4.783108]]"
