cluster_id,convex_hull
0.0,"[[45.704166, 4.984444], [45.706452, 4.98718], [45.705263, 4.991608], [45.705188, 4.991627], [45.705055, 4.991644], [45.704994, 4.991613], [45.704838, 4.991441]]"
1.0,"[[45.665773, 4.888722], [45.666665, 4.888615], [45.665893, 4.888894]]"
2.0,
3.0,"[[45.829616, 4.956405], [45.824485, 4.963974], [45.822333, 4.962166], [45.821831, 4.953471], [45.827946, 4.949469], [45.828613, 4.950088], [45.828814, 4.950724]]"
4.0,"[[45.78011, 4.959856], [45.778089, 4.970433], [45.763797, 4.961288], [45.762575, 4.954172], [45.763167, 4.952167], [45.76967, 4.949158], [45.77565, 4.953954]]"
5.0,"[[45.804198, 4.933612], [45.802953, 4.942173], [45.800002, 4.944469], [45.799164, 4.944899], [45.798603, 4.943997], [45.798323, 4.943028], [45.798333, 4.939667], [45.798483, 4.937752], [45.802709, 4.931284], [45.802717, 4.931284]]"
6.0,"[[45.808107, 4.944298], [45.807773, 4.942109], [45.809156, 4.93962], [45.810558, 4.937641], [45.813965, 4.937596], [45.814176, 4.937691], [45.815011, 4.940779], [45.815034, 4.941444]]"
7.0,"[[45.794881, 4.99472], [45.790344, 4.991683], [45.79038, 4.991113], [45.791286, 4.989641], [45.792986, 4.989361], [45.795555, 4.99048]]"
8.0,"[[45.782172, 4.997713], [45.78557, 5.002936], [45.785438, 5.003397], [45.785351, 5.003608], [45.785044, 5.003486]]"
9.0,"[[45.779182, 4.980958], [45.7777, 4.975776], [45.777958, 4.97538], [45.782534, 4.975281], [45.781232, 4.979853]]"
10.0,"[[45.76123, 5.006709], [45.761694, 5.001731], [45.76643, 5.003081], [45.767666, 5.003858], [45.766085, 5.005044]]"
11.0,"[[45.760972, 4.993169], [45.769008, 4.99214], [45.767945, 4.997862], [45.76637, 4.997406]]"
12.0,"[[45.776729, 4.991707], [45.776111, 4.988055], [45.776111, 4.987777]]"
13.0,"[[45.794325, 4.958611], [45.79861, 4.956518], [45.798872, 4.958224], [45.798577, 4.958752], [45.797527, 4.959719]]"
14.0,"[[45.804135, 4.963186], [45.803741, 4.964318], [45.803375, 4.964243], [45.801583, 4.962936], [45.801774, 4.962365], [45.804085, 4.962934], [45.80413, 4.962998]]"
15.0,"[[45.806944, 4.973333], [45.80677, 4.971377], [45.80683, 4.97113], [45.809941, 4.972753]]"
16.0,"[[45.813055, 4.970555], [45.81263, 4.971538], [45.810824, 4.970937], [45.810809, 4.970916], [45.810839, 4.970744], [45.811535, 4.969511], [45.811565, 4.969523]]"
17.0,
18.0,
19.0,"[[45.766791, 4.981516], [45.768169, 4.981116], [45.768797, 4.981447], [45.768694, 4.981711], [45.767875, 4.981919], [45.767691, 4.981963], [45.767519, 4.981941]]"
20.0,"[[45.761703, 4.729013], [45.741517, 4.750707], [45.729584, 4.743106], [45.728688, 4.741438], [45.731344, 4.734613], [45.737333, 4.722833], [45.747214, 4.720838], [45.754166, 4.722666], [45.756418, 4.724419], [45.761595, 4.728841]]"
21.0,"[[45.786996, 4.730654], [45.787936, 4.730652], [45.788288, 4.731216], [45.788466, 4.731863], [45.787659, 4.731824]]"
22.0,"[[45.785236, 4.730844], [45.784752, 4.730322], [45.785429, 4.72985], [45.785826, 4.729807], [45.786392, 4.730162], [45.786447, 4.730536], [45.785624, 4.730826]]"
23.0,"[[45.764294, 4.980475], [45.764797, 4.980397], [45.764652, 4.980444]]"
24.0,"[[45.719566, 4.759215], [45.731747, 4.76328], [45.723768, 4.765512]]"
25.0,"[[45.702833, 4.771833], [45.697375, 4.771445], [45.698799, 4.764525], [45.699952, 4.766365]]"
26.0,"[[45.684833, 4.770166], [45.687816, 4.769187], [45.687801, 4.770115]]"
27.0,"[[45.709167, 4.7525], [45.721379, 4.749441], [45.715141, 4.751718]]"
28.0,"[[45.706404, 4.751651], [45.707, 4.7455], [45.71022, 4.743219], [45.710612, 4.745408], [45.710666, 4.7465], [45.707437, 4.751243], [45.707333, 4.751393]]"
29.0,"[[45.690379, 4.787034], [45.691409, 4.784867], [45.691627, 4.784953], [45.694096, 4.787678], [45.693927, 4.787764], [45.69123, 4.788794], [45.691166, 4.788815]]"
30.0,"[[45.687308, 4.785372], [45.685665, 4.78609], [45.685777, 4.784798], [45.686429, 4.784932]]"
31.0,"[[45.845986, 4.802822], [45.83747, 4.805295], [45.818833, 4.799833], [45.813994, 4.797077], [45.815774, 4.795414], [45.83835, 4.790419], [45.838819, 4.790441]]"
32.0,"[[45.838225, 4.917022], [45.847058, 4.909755], [45.842418, 4.914665]]"
33.0,
34.0,
35.0,"[[45.818408, 4.905188], [45.818394, 4.905916], [45.818113, 4.905644], [45.81775, 4.905247], [45.817444, 4.904563], [45.817844, 4.904252]]"
36.0,"[[45.815902, 4.904502], [45.8155, 4.904166], [45.815833, 4.904], [45.816166, 4.904]]"
37.0,
38.0,
39.0,"[[45.765277, 4.9818], [45.765301, 4.981763], [45.765291, 4.981794]]"
40.0,"[[45.765238, 4.981919], [45.765269, 4.981875], [45.765311, 4.981883], [45.765372, 4.981911], [45.76528, 4.981944], [45.765266, 4.981944]]"
41.0,"[[45.815081, 4.861435], [45.821335, 4.862501], [45.816933, 4.867861]]"
42.0,"[[45.831056, 4.87412], [45.831041, 4.87412], [45.831056, 4.874099]]"
43.0,"[[45.76521, 4.981688], [45.765236, 4.981675], [45.765227, 4.981683]]"
44.0,
45.0,"[[45.675624, 4.861643], [45.675444, 4.860689], [45.67715, 4.860986], [45.67791, 4.861149]]"
46.0,"[[45.671969, 4.857477], [45.672997, 4.855452], [45.676066, 4.85805], [45.673727, 4.858306]]"
47.0,"[[45.817479, 4.897198], [45.816634, 4.895447], [45.817291, 4.892791], [45.817923, 4.891811], [45.818024, 4.891684], [45.818269, 4.891699], [45.818698, 4.893153], [45.819466, 4.896436]]"
48.0,
49.0,"[[45.813833, 4.887666], [45.814, 4.888166], [45.813824, 4.888273], [45.813438, 4.888367], [45.812153, 4.888273], [45.811097, 4.887844], [45.811841, 4.887677], [45.812153, 4.887612]]"
50.0,"[[45.813656, 4.889621], [45.812674, 4.890086], [45.812779, 4.889564], [45.812818, 4.889564]]"
51.0,"[[45.812645, 4.891813], [45.812058, 4.891516], [45.812666, 4.891227], [45.812707, 4.891334]]"
52.0,"[[45.831363, 4.879624], [45.831527, 4.879646], [45.831595, 4.879914], [45.831475, 4.879871], [45.831412, 4.879785]]"
53.0,"[[45.831423, 4.879378], [45.831714, 4.879125], [45.831729, 4.879249], [45.831722, 4.879292]]"
54.0,"[[45.831266, 4.879458], [45.831191, 4.87956], [45.831262, 4.879345]]"
55.0,
56.0,"[[45.779975, 4.923827], [45.777932, 4.922304], [45.779698, 4.922883], [45.780102, 4.923827]]"
57.0,"[[45.703976, 4.853575], [45.68734, 4.84614], [45.695771, 4.840561], [45.703182, 4.840657], [45.707404, 4.843672], [45.706044, 4.852706]]"
58.0,"[[45.697191, 4.861224], [45.698263, 4.873585], [45.692766, 4.872072], [45.692652, 4.871819], [45.692993, 4.866589]]"
59.0,"[[45.81392, 4.818352], [45.814396, 4.817697], [45.816776, 4.816389], [45.816278, 4.818399], [45.814826, 4.821442], [45.81451, 4.820412]]"
60.0,"[[45.825297, 4.827063], [45.827002, 4.827205], [45.825547, 4.829275], [45.825486, 4.829327], [45.822653, 4.829099], [45.822569, 4.829083], [45.825241, 4.827097]]"
61.0,"[[45.821943, 4.819339], [45.826047, 4.819361], [45.825165, 4.822225], [45.821076, 4.824285], [45.821552, 4.819686], [45.821804, 4.819386]]"
62.0,"[[45.849, 4.855166], [45.847893, 4.854079], [45.849122, 4.854208], [45.8495, 4.854833], [45.849387, 4.854986]]"
63.0,"[[45.723055, 4.97], [45.716262, 4.971858], [45.720802, 4.96788]]"
64.0,"[[45.84762, 4.828759], [45.850654, 4.829628], [45.850415, 4.829649], [45.849511, 4.829682], [45.848801, 4.829553], [45.84755, 4.828995], [45.847553, 4.828898]]"
65.0,"[[45.833015, 4.844498], [45.835755, 4.846011], [45.834808, 4.847663], [45.834452, 4.848238], [45.834255, 4.848397], [45.830989, 4.850873], [45.829502, 4.849666], [45.829566, 4.849386], [45.829644, 4.849055], [45.831625, 4.845056]]"
66.0,"[[45.732816, 4.948052], [45.732164, 4.947785], [45.73275, 4.947102]]"
67.0,"[[45.730988, 4.937753], [45.731205, 4.938919], [45.730284, 4.939877], [45.725019, 4.939792], [45.728027, 4.938022]]"
68.0,
69.0,"[[45.73593, 4.786863], [45.726506, 4.780147], [45.733055, 4.782222]]"
70.0,
71.0,
72.0,
73.0,
74.0,
75.0,
76.0,
77.0,
78.0,
79.0,
80.0,"[[45.733016, 4.951447], [45.733503, 4.95161], [45.733505, 4.952177], [45.733103, 4.95203]]"
81.0,"[[45.835763, 4.836447], [45.83463, 4.835958], [45.835625, 4.835191], [45.836605, 4.83468], [45.836259, 4.835711], [45.836072, 4.836019]]"
82.0,"[[45.834753, 4.83349], [45.834899, 4.833297], [45.834248, 4.834628], [45.834219, 4.834671], [45.834656, 4.833641]]"
83.0,"[[45.796886, 4.780138], [45.798293, 4.776096], [45.799277, 4.777047], [45.799277, 4.77705], [45.799083, 4.777752], [45.799011, 4.777944], [45.796977, 4.780413], [45.796955, 4.780433]]"
84.0,
85.0,"[[45.845338, 4.836997], [45.845061, 4.837061], [45.844922, 4.836905], [45.844896, 4.836704], [45.844911, 4.836671], [45.844967, 4.836639], [45.84503, 4.836693], [45.845297, 4.836922]]"
86.0,"[[45.843888, 4.836666], [45.84273, 4.836333], [45.842963, 4.836047], [45.843636, 4.836199]]"
87.0,"[[45.843888, 4.836666], [45.844391, 4.836688], [45.844343, 4.836886], [45.844166, 4.836944]]"
88.0,"[[45.800354, 4.769762], [45.800666, 4.769666], [45.802829, 4.769976], [45.802851, 4.770029], [45.800833, 4.769833]]"
89.0,"[[45.799922, 4.764163], [45.800036, 4.764102], [45.800136, 4.76413], [45.800283, 4.764688], [45.799661, 4.766336], [45.799472, 4.766555], [45.799886, 4.764322]]"
90.0,"[[45.803791, 4.774577], [45.807092, 4.770353], [45.806999, 4.770833], [45.80529, 4.77343], [45.80526, 4.773473]]"
91.0,"[[45.730816, 4.94934], [45.731039, 4.949599], [45.730853, 4.949619]]"
92.0,"[[45.731433, 4.949572], [45.731566, 4.949511], [45.73178, 4.949863], [45.731861, 4.950066], [45.731875, 4.95013], [45.73183, 4.950222], [45.731469, 4.950108]]"
93.0,"[[45.81685, 4.764219], [45.815401, 4.761191], [45.818206, 4.759676], [45.81858, 4.760402], [45.817658, 4.763444]]"
94.0,"[[45.7297, 4.953825], [45.729713, 4.953375], [45.730415, 4.95351], [45.729905, 4.954047]]"
95.0,"[[45.837566, 4.826916], [45.837475, 4.826963], [45.8375, 4.826944]]"
96.0,"[[45.815569, 4.769947], [45.816513, 4.768783], [45.817711, 4.769263], [45.817505, 4.769563], [45.816013, 4.770294]]"
97.0,"[[45.81884, 4.767197], [45.819296, 4.766854], [45.819393, 4.766896], [45.819401, 4.767175], [45.819094, 4.767347], [45.818967, 4.767411]]"
