cluster_id,convex_hull
0.0,"[[45.769999, 4.857716], [45.770471, 4.859068], [45.770329, 4.860398], [45.768013, 4.8616], [45.766654, 4.861568], [45.765532, 4.859089], [45.76533, 4.858174], [45.765322, 4.857952], [45.765441, 4.857583], [45.765863, 4.857469], [45.767558, 4.857469]]"
1.0,"[[45.771077, 4.83466], [45.770247, 4.834628], [45.769985, 4.834595], [45.769455, 4.834508], [45.769083, 4.834446], [45.768998, 4.834425], [45.769022, 4.833975], [45.769341, 4.833523], [45.76973, 4.833072], [45.769833, 4.833], [45.770172, 4.832766], [45.770555, 4.832777], [45.77095, 4.8329], [45.771201, 4.83312], [45.77119, 4.833308]]"
2.0,"[[45.836836, 4.826377], [45.836666, 4.822777], [45.837889, 4.823083], [45.840038, 4.824308], [45.841511, 4.825855], [45.837652, 4.826752], [45.837455, 4.826774], [45.837155, 4.826766], [45.836911, 4.826711]]"
3.0,"[[45.730558, 4.952496], [45.730133, 4.950113], [45.730801, 4.950081], [45.731469, 4.950108], [45.731875, 4.95013], [45.732288, 4.950297], [45.732597, 4.950594], [45.732911, 4.951327], [45.731063, 4.952463], [45.7308, 4.952488]]"
4.0,"[[45.739535, 4.81967], [45.739666, 4.818166], [45.740865, 4.818191], [45.740936, 4.818194], [45.741262, 4.818234], [45.741972, 4.818322], [45.742019, 4.818341], [45.742071, 4.818363], [45.742864, 4.818792], [45.743216, 4.819363], [45.743433, 4.82055], [45.743344, 4.820752], [45.742666, 4.820833], [45.740433, 4.821008], [45.739734, 4.820895]]"
5.0,"[[45.780575, 4.772335], [45.775507, 4.769203], [45.775582, 4.766542], [45.775605, 4.766435], [45.776944, 4.76666], [45.781833, 4.770166]]"
6.0,"[[45.718502, 4.870444], [45.721671, 4.874968], [45.721416, 4.875826], [45.720499, 4.87618], [45.716163, 4.877802], [45.71609, 4.87598], [45.716626, 4.873732]]"
7.0,"[[45.798323, 4.943028], [45.798333, 4.939667], [45.798483, 4.937752], [45.801297, 4.9392], [45.802953, 4.942173], [45.800002, 4.944469], [45.799164, 4.944899], [45.798603, 4.943997]]"
8.0,"[[45.729584, 4.743106], [45.728688, 4.741438], [45.731344, 4.734613], [45.738055, 4.732222], [45.738047, 4.732872]]"
9.0,"[[45.752905, 4.828241], [45.752233, 4.825321], [45.753005, 4.824639], [45.753869, 4.824629], [45.755075, 4.825004], [45.755217, 4.825111], [45.755307, 4.825615], [45.755449, 4.82787], [45.755457, 4.828362], [45.754777, 4.828533], [45.753526, 4.828533]]"
